,0
1050,OAS3
1051,ANTXR2
1052,MAP3K8
1053,C4A
1054,TSPAN2
1055,PLCG2
1056,AEBP1
1057,ULBP1
1058,KIF18A
1059,LDHAP4
1060,MLF1IP
1061,MMP14
1062,CNN2
1063,AFAP1L1
1064,GRB10
1065,WEE1
1066,HOXB7
1067,FBLN5
1068,TWIST1
1069,GJC1
1070,LRRC3
1071,SERPINA5
1072,VAV2
1073,COLEC12
1074,CCDC89
1075,IRAK2
1076,TNN
1077,LTBP1
