,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Change
NDOR1,789.518017573183,0.351190982376514,0.0730464503291273,4.8077761587886,1.52618511858742e-06,3.38475704944814e-06,NS
NDP,468.923104343712,-0.993159507213324,0.12810360043823,-7.75278371424237,8.98996660500894e-15,4.25934436463821e-14,Down
NDRG1,5237.21887440086,-0.00949556830742106,0.120579767650817,-0.0787492669161459,0.937232057792424,0.945327208232563,NS
NDRG2,36930.9279135007,-1.05308133494009,0.115179726179239,-9.14294008045582,6.07770678617262e-20,4.41007315838865e-19,Down
NDRG3,2219.20393812537,-0.512229772725691,0.0606320658361799,-8.44816625759826,2.95913782366138e-17,1.74347459722946e-16,NS
NDRG4,11907.0567682441,-0.198553943991905,0.101630510935772,-1.95368440209245,0.0507385520661288,0.0660296782760686,NS
NDST1,3881.92965553404,0.400356632106002,0.0612092395078931,6.54078755633576,6.11957096981154e-11,2.07462146996619e-10,NS
NDST2,15.7935556513174,1.32079924960501,0.194978151470926,6.77408847935438,1.25193041395272e-11,4.51184158065731e-11,Up
NDST3,183.191176812147,2.01050514249148,0.212752771317281,9.44995982916333,3.389607599402e-21,2.71302320283498e-20,Up
NDUFA1,2536.86617017318,-1.08624310663982,0.119620941726551,-9.08071020810831,1.07868668219198e-19,7.66268806360624e-19,Down
NDUFA10,3722.07546660607,-0.508321284094937,0.0714549966006564,-7.11386618539519,1.12836558131091e-12,4.44878069366984e-12,NS
NDUFA11,825.58291360379,-0.654568062560886,0.154793806823344,-4.22864503428035,2.35102937551905e-05,4.59007803986351e-05,Down
NDUFA12,1293.97131953608,-1.02185230694772,0.099844149191579,-10.2344735792882,1.38948772297803e-24,1.45136195105401e-23,Down
NDUFA13,83.5865416676055,1.04802971711963,0.13023340700973,8.04731858885736,8.46276781174871e-16,4.41129245729945e-15,Up
NDUFA2,220.037898850249,-0.658829696379935,0.0991314608277444,-6.64602025309351,3.01123842343904e-11,1.04866814179924e-10,Down
NDUFA3,3247.10427232323,-1.14184115974259,0.159028418027748,-7.18010764304626,6.96565537562866e-13,2.79936910267899e-12,Down
NDUFA4,6389.24689500829,-1.10466190298819,0.100484342419619,-10.9933734588735,4.11261345530505e-28,5.90547467343969e-27,Down
NDUFA4L2,1842.23932642524,-0.252200584775816,0.152155463263302,-1.65751908848247,0.0974145729000948,0.121642691538914,NS
NDUFA5,2528.35485114718,-0.877792157677811,0.0871344768448839,-10.0739935495389,7.19940737926607e-24,7.15182255693065e-23,Down
NDUFA6,1336.95281188367,-0.936440228389622,0.101611251256336,-9.21591080526364,3.08646702872148e-20,2.29183590165632e-19,Down
NDUFA8,1742.64447949137,-0.94558524058882,0.0933670589138938,-10.1276108682064,4.16706455286688e-24,4.22220922734926e-23,Down
NDUFA9,460.558819900398,-0.927430006822733,0.127498399786911,-7.2740521322052,3.48861253948515e-13,1.43505217285664e-12,Down
NDUFAB1,1694.94589460986,-0.988432403460274,0.101064834752279,-9.78018126565023,1.36965026367054e-22,1.23222812164871e-21,Down
NDUFAF1,627.209622432815,-0.706839279075642,0.063944845813748,-11.0538898026973,2.0991782523075e-28,3.08640048835646e-27,Down
NDUFAF2,531.410463257137,-1.00245332682671,0.087670351282332,-11.4343482393315,2.81643605885975e-30,4.86344575610761e-29,Down
NDUFAF3,1418.70270948757,-0.645754580981748,0.0841173243631109,-7.67683216116345,1.63070859151604e-14,7.57791636343785e-14,Down
NDUFAF4,444.753016950272,-0.745566033009353,0.0828432175858809,-8.99972326927607,2.26287336110084e-19,1.56702049476915e-18,Down
NDUFAF5,357.046743760902,-0.352649293522953,0.0540258438746203,-6.52741851365356,6.691288878758e-11,2.26135750739121e-10,NS
NDUFAF6,450.806608186047,-0.053520738904434,0.0749661409287539,-0.71393215979063,0.475269129937474,0.518626454934123,NS
NDUFAF7,291.279967382345,0.0210155905242895,0.0510716530994285,0.411492271130825,0.680711607388368,0.713825880943729,NS
NDUFB1,2101.94109020747,-0.795165728917227,0.123864028441088,-6.41966629799563,1.3657339021598e-10,4.45510303453736e-10,Down
NDUFB10,3839.98276741609,-1.19799316650019,0.153832018543499,-7.78767110932392,6.82555716991879e-15,3.26724989625838e-14,Down
NDUFB11,4130.85985206298,-1.1951367666113,0.152233608761888,-7.85067618334292,4.13800113110604e-15,2.02374312624625e-14,Down
NDUFB2,2294.55054998166,-1.07455215726022,0.142668734311379,-7.53179848722126,5.00461529752395e-14,2.22683430672722e-13,Down
NDUFB3,962.619957193165,-0.966721550844142,0.0926121461338745,-10.4383883885674,1.65598107846612e-25,1.86406968555216e-24,Down
NDUFB4,1859.47760794291,-0.940561593611088,0.0911523395144443,-10.3185677802822,5.80830831208413e-25,6.25616858140342e-24,Down
NDUFB5,1732.68881156849,-0.842672877005551,0.0830886689856367,-10.1418507155437,3.60209595213257e-24,3.67038427464004e-23,Down
NDUFB6,926.052290406677,-0.951112976954213,0.108206744694924,-8.78977534751426,1.49859327320941e-18,9.74565945942914e-18,Down
NDUFB7,6000.37329417434,-0.884034076736815,0.162655249359164,-5.43501719261917,5.47911492114278e-08,1.40456401452921e-07,Down
NDUFB9,3978.35236347487,-1.36151885447066,0.144034562065962,-9.45272325573593,3.30127876095996e-21,2.64786333261336e-20,Down
NDUFC1,1014.75043945142,-0.860575686474058,0.0940502126197382,-9.15017268438849,5.68426112588213e-20,4.14310402313959e-19,Down
NDUFC2,604.399875069806,-0.429574313239787,0.0719341572026677,-5.97177099092858,2.34691822546805e-09,6.8381218157956e-09,NS
NDUFS1,2654.08517844898,0.694029811908095,0.0726431110240392,9.55396598692512,1.24824141451266e-21,1.04332928117247e-20,Up
NDUFS2,2787.81790805373,-0.511170890082067,0.0458317588750012,-11.1532025527583,6.90746418515861e-29,1.06276738060184e-27,NS
NDUFS3,2467.6423270721,-1.09530161057277,0.105586299853927,-10.3735201639613,3.27243066792272e-25,3.59635034541108e-24,Down
NDUFS4,1077.85193391934,-1.02342953164359,0.0875423516767409,-11.6906789918405,1.42244821721465e-31,2.68791379066685e-30,Down
NDUFS5,5347.73517440087,-1.04143022208522,0.131465821914344,-7.92168037989185,2.34322011026735e-15,1.16743857672988e-14,Down
NDUFS6,4808.04377244136,-1.15214109577665,0.15537417224237,-7.41526779611357,1.21379293614078e-13,5.22053178045501e-13,Down
NDUFS7,2195.18516937904,-0.476333309850281,0.0982622745429055,-4.84757056628374,1.2498258158372e-06,2.79707329969247e-06,NS
NDUFS8,4692.31391484802,-0.802061804276746,0.14567222515031,-5.50593500888141,3.67213993078665e-08,9.56299941545466e-08,Down
NDUFV1,13917.857607927,-0.829204801122664,0.137131000904929,-6.04680776520794,1.47743863447083e-09,4.39548825416616e-09,Down
NDUFV2,17.6778385872827,0.647153847634983,0.114334709198601,5.66016962102792,1.51223450988881e-08,4.09587695052813e-08,Up
