"sample","stromal","immune","estimate","purity"
"CGGA_1634",-797.84044474019,760.083923506764,-37.7565212334252,0.825648874250921
"CGGA_1635",-1309.95010119479,-796.742681653982,-2106.69278284877,0.956584069322756
"CGGA_1640",-1230.2337451033,-61.7746325000738,-1292.00837760338,0.914981055558794
"CGGA_1641",-1198.46845769833,-283.343770093313,-1481.81222779164,0.925866329569064
"CGGA_1642",-1424.41403689676,-38.2950407080615,-1462.70907760482,0.924803150405971
"CGGA_1643",-1049.32030360744,-60.4220199463695,-1109.74232355381,0.903859516413876
"CGGA_1644",-809.535974753025,625.740107596868,-183.795867156156,0.837552598380029
"CGGA_1645",-1740.71407196993,-346.031644995623,-2086.74571696556,0.955726585914337
"CGGA_1647",-1049.80913858239,331.262082393688,-718.547056188704,0.877816019912788
"CGGA_1648",-1128.3542158553,250.125714261862,-878.228501593436,0.888801281589792
"CGGA_1649",-1023.55230961486,388.010872994969,-635.541436619893,0.871914769937607
"CGGA_165",-1381.03726472312,-55.293828041873,-1436.33109276499,0.923323141652902
"CGGA_1650",-1087.14706485173,295.851856515453,-791.295208336274,0.882880893786341
"CGGA_1651",-1682.99041944095,-916.24708168212,-2599.23750112307,0.975138908642603
"CGGA_1653",-1460.70237017027,-95.0941067176232,-1555.79647688789,0.929915126343322
"CGGA_1654",-1092.05213160059,362.51969663314,-729.532434967454,0.87858727504212
"CGGA_1655",-1181.86376875844,205.630253982564,-976.233514775878,0.895302083618732
"CGGA_1656",-1625.3872836876,-525.963699864423,-2151.35098355202,0.958474089326829
"CGGA_1657",-1230.84065084063,-146.141799287618,-1376.98245012824,0.919942648759625
"CGGA_1658",145.031007377148,1952.53354963858,2097.56455701573,0.611465205601488
"CGGA_1659",-770.163516359795,908.126841700714,137.96332534092,0.810823481920555
"CGGA_1660",-1842.98517282314,-651.669680189679,-2494.65485301282,0.971622327598003
"CGGA_1661",-1135.21322239474,10.2957276084757,-1124.91749478626,0.904810279846934
"CGGA_1662",-1615.41635467564,-235.446256077911,-1850.86261075355,0.944967184685586
