,Dataset,Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
28,tidied_integrated_df_4,Deep,0.8420331239291832,0.02303544764887784,0.7527777777777779,0.2653323096946567,0.19707602339181288,0.12107664253210823,0.29345469345469344,0.1524915691504749,0.7004756171474439,0.05385195388481131,0.4263994135439587,0.07742999983242412
29,tidied_integrated_df_4,SVM,0.7639634494574529,0.04465771105256386,0.3997555233548442,0.08452342120396694,0.5549707602339181,0.07679322325697997,0.4606717244834277,0.07076490682707097,0.7689037954363032,0.060347263910662995,0.48057941417103917,0.11572413700314667
30,tidied_integrated_df_4,RandomForest,0.8087759375594897,0.048001511197964704,0.4994964787534447,0.17903449175693786,0.34795321637426896,0.09539515695276184,0.39849505212408437,0.1089214375275291,0.7669998116205548,0.0607928748257598,0.44685072287019284,0.11380601234695385
31,tidied_integrated_df_4,XGBoost,0.8107938320959451,0.02746167162515467,0.48062865497076024,0.08790124891736475,0.37017543859649116,0.08631626491572572,0.40890318890318894,0.07543837822295577,0.7503462905630088,0.02903522540585584,0.4204738819173034,0.06448972023234836
32,tidied_integrated_df_4,LogisticRegression,0.7444127165429278,0.05432578230030899,0.38811532553468037,0.07409966061904281,0.62046783625731,0.05166096567335152,0.4704099660040294,0.04739789865455556,0.718101708519665,0.03415615713614658,0.41881283617579673,0.07183422514854182
33,tidied_integrated_df_4,NaiveBayes,0.48332381496287835,0.044910346877234955,0.22047054102088787,0.02698494785585925,0.7497076023391813,0.15092478509552396,0.33962116714848845,0.04590340565527311,0.643822956083018,0.0950199109971524,0.34766240582248353,0.09606985129435151
34,tidied_integrated_df_4,Ensemble,0.7853226727584237,0.056545324729572334,0.44434107122263045,0.11531825529970399,0.5111111111111111,0.0738649968199196,0.4674243636169728,0.08420423037092407,0.7416230936819173,0.06250347778072428,0.45637429238240923,0.10945318631145592
35,tidied_integrated_df_5,Deep,0.8537597563297161,0.023306880223754604,0.6737662337662338,0.10467049068790443,0.35964912280701755,0.0856081230183172,0.46582291271946447,0.09333649900719683,0.7144932592920209,0.03733409724356918,0.4539727973683133,0.08649235379654674
36,tidied_integrated_df_5,SVM,0.771730439748715,0.05969153388602451,0.4110999799639351,0.11705267099786235,0.5777777777777778,0.15399782859840205,0.4769949719018042,0.1253293673809087,0.7726917784657723,0.06276516740495333,0.44503287869620234,0.1218495500564569
37,tidied_integrated_df_5,RandomForest,0.8225014277555681,0.03678760414009194,0.5429014844804319,0.14258720260316718,0.39181286549707595,0.05584718777222607,0.445377828603635,0.065355800850067,0.7898711238881517,0.047039521928026296,0.4622103751689811,0.09180683312917105
38,tidied_integrated_df_5,XGBoost,0.8224823910146583,0.041163667423630965,0.526114358786993,0.1097063126594848,0.47134502923976607,0.1656055272536345,0.47656116241482105,0.12720447240407295,0.7946885186823268,0.04429470045299075,0.5139575788237273,0.08559274305673502
39,tidied_integrated_df_5,LogisticRegression,0.7522177803160098,0.05875252695453796,0.4009949135089901,0.08432410017082306,0.631578947368421,0.08159938120494327,0.48281417830290013,0.06412648632445017,0.7263700099923011,0.047175132356072,0.4101886302417343,0.08890560098565578
40,tidied_integrated_df_5,NaiveBayes,0.7579668760708167,0.09535401477630885,0.3929288103201147,0.09953488894187225,0.3052631578947368,0.13542273841854255,0.30725925925925923,0.04309926495001771,0.6528662751650367,0.06859016791434898,0.35264817494525447,0.07613236314189371
41,tidied_integrated_df_5,Ensemble,0.8243860651056538,0.04027402396916768,0.5577777777777777,0.14324321728993553,0.43684210526315786,0.11036375309553638,0.4696938074845051,0.08733659525444652,0.7854485068881354,0.041026467486774264,0.5042221100049168,0.11204032122966662
42,tidied_integrated_df_6,Deep,0.8478964401294498,0.015169308469407866,0.704978354978355,0.11054568374375441,0.32573099415204676,0.11914047588491349,0.4214685314685315,0.0918543410367191,0.7251616787065703,0.05901897542180065,0.4494646042711012,0.061595820192369165
