,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Change
FOSL1,82.9794969030479,0.972950956311847,0.218804750015574,4.4466628637751,8.72145505002862e-06,2.81109329571216e-05,NS
FOSL2,1268.45836571662,1.23354086464159,0.163168119011156,7.55993800821628,4.03261505659941e-14,6.70670159822967e-13,Up
FOXC1,373.471213502495,0.976401536812942,0.17274213200134,5.65236474449306,1.58255319608553e-08,8.41402013719633e-08,NS
FOXC2,23.7461212606309,1.41976714645794,0.27946531936225,5.08029815541299,3.76842945148523e-07,1.56282950578713e-06,Up
FOXD2,82.9526007785427,1.2002156185931,0.294935637877371,4.06941537221802,4.7131255155177e-05,0.000133887737780685,Up
FOXD4,77.6656572336968,-0.12246039258714,0.16473380850206,-0.743383484548098,0.457249540349527,0.526276291494967,NS
FOXD4L1,19.0842207874726,-0.0512819561557029,0.184340023727108,-0.278192196783154,0.780864824601277,0.82065379300278,NS
FOXD4L6,12.4611469041348,-0.375197411572541,0.212592982789921,-1.76486263398121,0.0775868549461241,0.111866213313687,NS
FOXE3,12.9780624519897,-0.940015391492932,0.275213222319699,-3.41558949664479,0.000636441115281196,0.00144748664470287,NS
FOXF1,124.612425023754,2.20603260168191,0.182202831004206,12.1075649018373,9.63110943780865e-34,7.44438897116714e-31,Up
FOXF2,277.771470401231,0.536335962422617,0.171154806783099,3.13363073175213,0.00172657987423779,0.00358570170402097,NS
FOXG1,2007.23096991157,-0.128638629413249,0.192772276371612,-0.667308763658886,0.504574929705635,0.572306978040118,NS
FOXH1,10.4560578808653,0.00498873944395087,0.188722313867395,0.0264342850705836,0.97891094816606,0.982664348214686,NS
FOXJ1,606.434267121198,1.52713188519928,0.241450354590428,6.32482767643789,2.53515337825647e-10,1.86539481576877e-09,Up
FOXJ2,713.392943293007,0.0429705166469738,0.0683339997064207,0.628830696748111,0.529459901219637,0.59669465504389,NS
FOXJ3,1155.78053183129,0.337978281294165,0.0855457925946364,3.95084633671809,7.78753148338872e-05,0.000212556265408383,NS
FOXK1,2624.31422538755,-0.0478890841416967,0.10779523182231,-0.444259762998025,0.656854788593249,0.71375464777384,NS
FOXK2,1457.19380898349,-0.0277563591976177,0.0626752935752116,-0.442859659912235,0.657867247405134,0.714663442636872,NS
FOXL1,43.5205589137378,0.133255336698607,0.226292313360391,0.588863734343404,0.555952687240674,0.622118322095407,NS
FOXL2,54.1400922179213,-0.331308873376146,0.193165146606244,-1.71515865670891,0.0863161425011589,0.122869738233694,NS
FOXM1,281.006874170923,1.50388035576427,0.201827338797305,7.45132133597922,9.24099754708785e-14,1.40712825688865e-12,Up
FOXN2,638.206384259929,0.218553859725251,0.136867642499832,1.59682636256059,0.110304417776569,0.152847986114843,NS
FOXN3,1363.00033298026,0.0562626911593827,0.105826938326242,0.531648104435723,0.594969741009788,0.657512856486307,NS
FOXN4,57.934739819953,-0.300761933527471,0.23510137615046,-1.27928614647916,0.200796309237194,0.259005538106972,NS
