,ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Change
3680,ENSG00000112218.8,106.693047903501,-0.167266055200978,0.110031724734389,-1.52016207693508,0.128470245976916,0.143570802925977,GPR63,NS
3681,ENSG00000112232.8,138.13684045456,-2.5160510398273,0.152068368302059,-16.5455253312745,1.72453810209153e-61,1.8487625403917e-60,KHDRBS2,Down
3682,ENSG00000112234.8,867.18087476738,-0.186637646910023,0.0342564834342435,-5.44824302436882,5.08698208032874e-08,8.22808017220457e-08,FBXL4,NS
3683,ENSG00000112237.12,1468.08774386301,0.481673440850509,0.0362078129209195,13.3030250101689,2.2228957279641e-40,1.15468960458682e-39,CCNC,NS
3684,ENSG00000112242.14,1282.80268496422,0.0940459420245096,0.0609062070864083,1.54411096214029,0.122561453655118,0.137221722528753,E2F3,NS
3685,ENSG00000112245.9,6148.23749923683,0.18529880350923,0.0397139350383647,4.66583840987368,3.07361181613484e-06,4.55807586414732e-06,PTP4A1,NS
3686,ENSG00000112249.13,2350.80000088873,-0.19688667955064,0.0508018577764931,-3.87558030686316,0.000106370889928893,0.000146259082176449,ASCC3,NS
3687,ENSG00000112276.13,529.35187462851,0.30743812931145,0.107667086684228,2.85545136196655,0.00429757048107019,0.00538489493650562,BVES,NS
3688,ENSG00000112280.15,469.219522606756,-0.278606755694981,0.160407065605962,-1.73687333935386,0.082409530242399,0.0938489260543622,COL9A1,NS
3689,ENSG00000112282.17,1349.14661273374,-0.299644977143534,0.0411381128295796,-7.28387756591692,3.24359406564147e-13,6.44660422999045e-13,MED23,NS
3690,ENSG00000112290.12,3634.39588843999,-1.00183504776606,0.0833366119862246,-12.0215475994111,2.73794854576057e-33,1.12165099433595e-32,WASF1,Down
3691,ENSG00000112293.14,154.599028693909,-0.754198253117462,0.0782759369983598,-9.63512264482078,5.6824102577515e-22,1.54699149828711e-21,GPLD1,NS
3692,ENSG00000112294.12,6117.95708714764,-1.5685864077436,0.0602963594989917,-26.0146121718978,3.38459305843951e-149,6.42696615208125e-147,ALDH5A1,Down
3693,ENSG00000112297.14,253.938092300082,1.66237048598334,0.138355591620004,12.0152027577538,2.95643597654644e-33,1.2089848256633e-32,AIM1,Up
3694,ENSG00000112299.7,46.1487273980815,1.05424388900004,0.130902171696827,8.05367760774589,8.03426729967945e-16,1.76108116483354e-15,VNN1,Up
3695,ENSG00000112303.13,87.4128834236647,1.84204043948872,0.135175389253948,13.6270400230043,2.7657230667772e-42,1.52965071880978e-41,VNN2,Up
3696,ENSG00000112304.10,1554.46278376883,0.157910589404648,0.0367722873646004,4.29428248068854,1.75259214063606e-05,2.50800081084114e-05,ACOT13,NS
3697,ENSG00000112305.14,2829.94360619634,-0.344221501658497,0.0390115605547663,-8.823576826035,1.10860575236307e-18,2.69024810903583e-18,SMAP1,NS
3698,ENSG00000112306.7,24625.5761452736,-0.0427928601809206,0.0653529231070528,-0.654796421436617,0.51259883497424,0.536564766621668,RPS12,NS
3699,ENSG00000112308.12,13163.9955922334,0.0936341605906931,0.0337246488666263,2.77643100039369,0.00549592991365402,0.00683466925409112,C6orf62,NS
3700,ENSG00000112309.10,3746.95980725343,-0.99239139860369,0.125290830532097,-7.92070253177434,2.36172341855021e-15,5.09726624580379e-15,B3GAT2,NS
3701,ENSG00000112312.9,1379.90222607911,0.225474649133797,0.0790023731675193,2.85402374756127,0.00431693042301891,0.00540849221792851,GMNN,NS
3702,ENSG00000112319.17,277.984480059321,1.97884241483386,0.198688002790833,9.95954656062989,2.29105240908036e-23,6.56764087299691e-23,EYA4,Up
3703,ENSG00000112320.11,2523.85574112037,-0.710560788600942,0.0495504074784196,-14.3401603490427,1.22771457879511e-46,7.96267254330491e-46,SOBP,NS
3704,ENSG00000112333.11,734.204924273991,0.64237921931354,0.122473534401256,5.24504516387134,1.56244048814594e-07,2.46917851051067e-07,NR2E1,NS
3705,ENSG00000112335.14,11116.568095166,0.723061691515307,0.0375608434419985,19.2504114725714,1.40046228759023e-82,2.95176573421382e-81,SNX3,NS
3706,ENSG00000112339.14,2132.74239056519,-0.11847460352348,0.0386907432099204,-3.06209169673182,0.00219796109317648,0.00280461585980981,HBS1L,NS
3707,ENSG00000112343.10,499.013897949379,0.974760178603966,0.0818955649640618,11.9024782237197,1.14884005009623e-32,4.59177777185217e-32,TRIM38,NS
3708,ENSG00000112357.12,384.439603547967,-0.167336993175788,0.0425231443356496,-3.93519801487257,8.31281296464787e-05,0.00011504543256861,PEX7,NS
3709,ENSG00000112365.4,616.375745249213,-0.401399018202136,0.0371632561818079,-10.8009647012209,3.40605923828183e-27,1.11548168091159e-26,ZBTB24,NS
3710,ENSG00000112367.10,1363.69241788124,-0.0759312276956181,0.0380877393690406,-1.9935871478195,0.0461971910467321,0.0537142529757559,FIG4,NS
3711,ENSG00000112378.11,357.42966374862,0.592380096141892,0.0969613708492734,6.10944431739468,9.99786296747166e-10,1.73099344649142e-09,PERP,NS
3712,ENSG00000112379.8,3997.96158011685,-2.1585474001499,0.0932990859220612,-23.1357829373921,2.0213861817942e-118,1.31601866083287e-116,ARFGEF3,Down
3713,ENSG00000112394.16,205.347911154045,1.5712058688336,0.139191803209281,11.2880631804966,1.50312404722029e-29,5.37789043272744e-29,SLC16A10,Up
3714,ENSG00000112406.4,2026.51539325094,-0.71105441892305,0.0360033441333617,-19.7496770380329,8.07324492321021e-87,1.97808968799516e-85,HECA,NS
3715,ENSG00000112414.14,233.018828908113,-0.0389486843577907,0.109058676305911,-0.357135128327977,0.720990647605709,0.738749747744086,ADGRG6,NS
3716,ENSG00000112419.14,637.579681599517,-0.460342685298423,0.0803227214988664,-5.73116394350407,9.97438020875023e-09,1.65940285001257e-08,PHACTR2,NS
3717,ENSG00000112425.13,853.866099992988,-0.616109699342557,0.0485361720032339,-12.6938255308125,6.39825633882236e-37,2.94007261923749e-36,EPM2A,NS
3718,ENSG00000112473.16,5713.41576414808,0.183498499646554,0.0355957310455513,5.1550704046992,2.53535652510516e-07,3.96727389110763e-07,SLC39A7,NS
3719,ENSG00000112511.17,3804.96059309441,-0.482200288437808,0.0420671760807238,-11.4626255756389,2.03258000827088e-30,7.49714942619049e-30,PHF1,NS
3720,ENSG00000112514.15,6131.97901591485,0.153712817353351,0.0408589556179414,3.76203490834834,0.000168536517256363,0.000229170328596572,CUTA,NS
3721,ENSG00000112530.11,457.280903813024,0.178574861895871,0.0789552010359005,2.26172385799733,0.0237144697413054,0.0281721801224985,PACRG,NS
3722,ENSG00000112531.16,48483.6232647844,-0.61608381698067,0.0448037869431073,-13.7507085676259,5.04331544248867e-43,2.87460570023784e-42,QKI,NS
3723,ENSG00000112539.14,77.4197075747683,0.836616847142013,0.1440752433985,5.80680502359451,6.36762150078318e-09,1.0680230779264e-08,C6orf118,NS
3724,ENSG00000112541.13,390.101751105724,-0.580488346845814,0.103458107496681,-5.61085410212476,2.01330452859068e-08,3.30707643350723e-08,PDE10A,NS
3725,ENSG00000112559.13,2553.77036341409,-0.0191838578094606,0.115025027664599,-0.1667798582531,0.867543267487262,0.877729517988592,MDFI,NS
3726,ENSG00000112561.17,1834.22120756197,-0.553810893693074,0.0490337663425377,-11.2944800084148,1.39728599208523e-29,5.00446055286131e-29,TFEB,NS
3727,ENSG00000112562.18,458.801423616933,0.690846513050285,0.0972435846281529,7.10428884015325,1.20943679792137e-12,2.35123043433231e-12,SMOC2,NS
3728,ENSG00000112576.12,4270.13651996924,0.0740382675406268,0.0514928721842398,1.43783526534935,0.15048080072336,0.167148364904656,CCND3,NS
3729,ENSG00000112578.9,942.068789704016,0.220026861376419,0.0445383043734283,4.94017148770682,7.80538933285204e-07,1.1931494069628e-06,BYSL,NS
3730,ENSG00000112584.13,2856.6054372399,-0.668593954363752,0.0359510462940083,-18.5973434234981,3.37629897681364e-77,6.10592058346509e-76,FAM120B,NS
3731,ENSG00000112592.12,754.491649744013,0.0673631011527823,0.0366400661857492,1.83850926500189,0.0659873978825284,0.0757837013930051,TBP,NS
3732,ENSG00000112599.8,55.7034436024072,-0.955511820527163,0.0811602552195467,-11.7731495291927,5.36821961058221e-32,2.09458614485959e-31,GUCA1B,NS
3733,ENSG00000112619.7,56.5489450448622,-1.11501414744236,0.158005812174216,-7.05679197555694,1.70390406234345e-12,3.29222390338605e-12,PRPH2,Down
3734,ENSG00000112624.12,1301.16016058893,-0.660884969562696,0.0386728703537055,-17.0891108810436,1.78880443622569e-65,2.18361912964979e-64,GLTSCR1L,NS
3735,ENSG00000112640.14,3387.31337364632,-0.027930369150097,0.0322035015548561,-0.86730845409838,0.385773025792029,0.409759729512786,PPP2R5D,NS
3736,ENSG00000112651.11,1222.17426551895,0.428744414957122,0.0367269817361175,11.673826562652,1.73442506388136e-31,6.63364215033176e-31,MRPL2,NS
3737,ENSG00000112655.15,2130.29987988007,0.665010865909143,0.0603650955909074,11.0164799608022,3.18262718826828e-28,1.08438807737175e-27,PTK7,NS
3738,ENSG00000112658.7,2220.80114025136,0.0559643104302884,0.0412782777364696,1.3557811396003,0.175168813900921,0.193272827001672,SRF,NS
3739,ENSG00000112659.13,2429.81977289211,-0.6448373648252,0.0367120372852522,-17.5647393200988,4.58796927153214e-69,6.37035029252411e-68,CUL9,NS
3740,ENSG00000112667.12,1588.60005691777,-0.0564921083735056,0.0583597617299142,-0.96799758427644,0.333045576167843,0.356663116242826,DNPH1,NS
3741,ENSG00000112679.14,1753.51922013269,-0.0889050212371264,0.0371736456498113,-2.39161426551064,0.0167744615429777,0.020164751308522,DUSP22,NS
3742,ENSG00000112685.13,2226.06279248623,-0.368595396209589,0.0316410139670261,-11.6492915364126,2.31374333056929e-31,8.81155955864716e-31,EXOC2,NS
3743,ENSG00000112695.11,4739.48430759988,0.747798406230465,0.0500323630511801,14.9462939710745,1.64661352549751e-50,1.21208722831669e-49,COX7A2,NS
3744,ENSG00000112697.15,13874.1506735267,-0.696886898702024,0.0386879161309439,-18.0130378783733,1.53943298356204e-72,2.395348378368e-71,TMEM30A,NS
3745,ENSG00000112699.10,526.195950845238,0.22249383547142,0.0433398963060649,5.13369561154866,2.84107451487466e-07,4.43347710782601e-07,GMDS,NS
3746,ENSG00000112701.17,3509.67236447583,-0.483348602157856,0.0313179736888463,-15.4335847829771,9.73115916963479e-54,7.94136936931438e-53,SENP6,NS
3747,ENSG00000112706.11,15.9498485560507,-0.489827765140225,0.107833103502911,-4.54246190852704,5.56010455597678e-06,8.14941568281674e-06,IMPG1,NS
3748,ENSG00000112715.20,7168.21918836816,2.96713965177236,0.124075072709555,23.9140674027094,2.18674160064281e-126,1.87772652955331e-124,VEGFA,Up
3749,ENSG00000112739.16,3339.34834042947,-0.251756431160013,0.0332076052236446,-7.58128836645998,3.42140188511038e-14,7.08247803167899e-14,PRPF4B,NS
3750,ENSG00000112742.9,259.163714925813,1.86276457982799,0.137788031601106,13.5190593709957,1.20709327471424e-41,6.54376655507257e-41,TTK,Up
3751,ENSG00000112759.16,1611.5833368853,0.815267360969341,0.0543989644260482,14.9868176641054,8.95419183573196e-51,6.64853606687875e-50,SLC29A1,NS
3752,ENSG00000112761.18,14.8396996416618,0.00497669855732574,0.0950773163669674,0.0523437003429642,0.958254833183677,0.962101738907806,WISP3,NS
3753,ENSG00000112763.15,1378.11067907479,0.154768722240791,0.0309803565028155,4.99570501155226,5.86212104051916e-07,9.02081325872041e-07,BTN2A1,NS
3754,ENSG00000112769.18,2715.35247814775,1.02596151429354,0.0918740627806285,11.1670419620309,5.91169252911693e-29,2.0660700474971e-28,LAMA4,Up
3755,ENSG00000112773.15,840.5519873398,1.35821487935975,0.092355189694941,14.7064272602988,5.8621756369125e-49,4.0905579435795e-48,FAM46A,Up
